Source;Target;Type
1280;548;Directed
1280;1386;Directed
1280;1382;Directed
1280;304;Directed
1280;1335;Directed
1280;1353;Directed
1280;1665;Directed
1280;599;Directed
1280;1354;Directed
1280;1435;Directed
5556;248;Directed
1418;503;Directed
1418;502;Directed
1418;1264;Directed
1418;495;Directed
1418;1273;Directed
1418;287;Directed
1418;293;Directed
1418;346;Directed
1418;1555;Directed
1418;1551;Directed
1418;1512;Directed
1418;1056;Directed
1418;1218;Directed
1418;478;Directed
1418;1386;Directed
1418;1382;Directed
1418;3998;Directed
1418;1399;Directed
1418;1229;Directed
1418;1359;Directed
1418;302;Directed
1418;580;Directed
1418;1066;Directed
1418;1335;Directed
1418;1353;Directed
1418;1665;Directed
1418;599;Directed
1418;345;Directed
1418;1354;Directed
1418;4053;Directed
1418;1074;Directed
1418;1435;Directed
1418;1075;Directed
1418;1636;Directed
1418;1524;Directed
1418;603;Directed
1418;1638;Directed
1234;1229;Directed
517;507;Directed
517;1212;Directed
517;1227;Directed
517;495;Directed
517;1225;Directed
517;1555;Directed
517;1551;Directed
517;337;Directed
517;1055;Directed
517;1051;Directed
517;1587;Directed
517;1606;Directed
517;1054;Directed
517;1056;Directed
517;4091;Directed
517;668;Directed
517;669;Directed
517;1218;Directed
517;532;Directed
517;1382;Directed
517;3998;Directed
517;3953;Directed
517;3959;Directed
517;1715;Directed
517;1197;Directed
517;534;Directed
517;1230;Directed
517;580;Directed
517;467;Directed
517;599;Directed
517;345;Directed
517;1626;Directed
517;2223;Directed
517;1525;Directed
521;502;Directed
521;507;Directed
521;1212;Directed
521;495;Directed
521;1225;Directed
521;469;Directed
521;7447;Directed
521;609;Directed
521;1055;Directed
521;1051;Directed
521;1587;Directed
521;1606;Directed
521;1054;Directed
521;1056;Directed
521;669;Directed
521;1218;Directed
521;532;Directed
521;1382;Directed
521;490;Directed
521;3998;Directed
521;1222;Directed
521;1715;Directed
521;488;Directed
521;552;Directed
521;4057;Directed
521;1230;Directed
521;520;Directed
521;580;Directed
521;666;Directed
521;467;Directed
521;2188;Directed
521;465;Directed
521;599;Directed
521;345;Directed
521;1626;Directed
521;596;Directed
1415;1264;Directed
1415;495;Directed
1415;1273;Directed
1415;1218;Directed
1415;1382;Directed
1415;1335;Directed
1415;1353;Directed
1415;1354;Directed
469;1212;Directed
469;1227;Directed
469;1273;Directed
469;521;Directed
469;7447;Directed
469;346;Directed
469;1555;Directed
469;687;Directed
469;609;Directed
469;351;Directed
469;1055;Directed
469;1051;Directed
469;1606;Directed
469;1054;Directed
469;1056;Directed
469;4091;Directed
469;1745;Directed
469;737;Directed
469;5591;Directed
469;668;Directed
469;671;Directed
469;669;Directed
469;1218;Directed
469;499;Directed
469;532;Directed
469;1382;Directed
469;498;Directed
469;3998;Directed
469;1222;Directed
469;1356;Directed
469;675;Directed
469;1103;Directed
469;1102;Directed
469;1701;Directed
469;535;Directed
469;1359;Directed
469;1197;Directed
469;4057;Directed
469;533;Directed
469;534;Directed
469;302;Directed
469;1230;Directed
469;520;Directed
469;580;Directed
